bricks removed because they were in stages8,9,10
#stages8 = writecat:astrometry:0.84,legacypipe:dr9-m33-3-g9eca091c,tractor:dr9.4
#stages9 = writecat:astrometry:0.84,legacypipe:dr9-m33-1-g33038aa1,tractor:dr9.4
#stages10 = writecat:astrometry:0.84,legacypipe:dr9-m33,tractor:dr9.4
0223p300 file0_rs0_skip0 stages8
0223p302 file0_rs0_skip0 stages8
0224p305 file0_rs0_skip0 stages8
0225p295 file0_rs0_skip0 stages8
0225p297 file0_rs0_skip0 stages8
0225p307 file0_rs0_skip0 stages8
0226p300 file0_rs0_skip0 stages8
0226p302 file0_rs0_skip0 stages8
0227p295 file0_rs0_skip0 stages8
0227p305 file0_rs0_skip0 stages8
0227p307 file0_rs0_skip0 stages8
0228p297 file0_rs0_skip0 stages8
0228p300 file0_rs0_skip0 stages8
0229p302 file0_rs0_skip0 stages9
0230p295 file0_rs0_skip0 stages8
0230p305 file0_rs0_skip0 stages10
0231p297 file0_rs0_skip0 stages8
0231p300 file0_rs0_skip0 stages9
0233p295 file0_rs0_skip0 stages8
0234p297 file0_rs0_skip0 stages8
0234p300 file0_rs0_skip0 stages9
0236p295 file0_rs0_skip0 stages8
0237p297 file0_rs0_skip0 stages8
0237p300 file0_rs0_skip0 stages8
0238p302 file0_rs0_skip0 stages9
0238p305 file0_rs0_skip0 stages9
0239p307 file0_rs0_skip0 stages9
0240p297 file0_rs0_skip0 stages8
0240p300 file0_rs0_skip0 stages8
0241p302 file0_rs0_skip0 stages8
0241p305 file0_rs0_skip0 stages8
0242p307 file0_rs0_skip0 stages8
0243p310 file0_rs0_skip0 stages8
0244p302 file0_rs0_skip0 stages8
0244p305 file0_rs0_skip0 stages8
0245p307 file0_rs0_skip0 stages8
0246p310 file0_rs0_skip0 stages8
