#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
0933p657 file0_rs0_skip0 stages0
0941p615 file0_rs0_skip0 stages0
0948p590 file0_rs0_skip0 stages0
0964p585 file0_rs0_skip0 stages0
0993p615 file0_rs0_skip0 stages0
1072p375 file0_rs0_skip0 stages0
1080p392 file0_rs0_skip0 stages0
1103p367 file0_rs0_skip0 stages0
1167p375 file0_rs0_skip0 stages2
1257p432 file0_rs0_skip0 stages3
1282p380 file0_rs0_skip0 stages0
1297p650 file0_rs0_skip0 stages0
1347p480 file0_rs0_skip0 stages0
1634p432 file0_rs0_skip0 stages0
1805p430 file0_rs0_skip0 stages0
1838p362 file0_rs0_skip0 stages2
1840p330 file0_rs0_skip0 stages3
1841p407 file0_rs0_skip0 stages0
1865p390 file0_rs0_skip0 stages0
1884p412 file0_rs0_skip0 stages0
1912p455 file0_rs0_skip0 stages0
1937p472 file0_rs0_skip0 stages1
1938p382 file0_rs0_skip0 stages0
2068p492 file0_rs0_skip0 stages0
2828p530 file0_rs0_skip0 stages0
2842p652 file0_rs0_skip0 stages3
2883p677 file0_rs0_skip0 stages3
2902p657 file0_rs0_skip0 stages0
2918p625 file0_rs0_skip0 stages0
2939p635 file0_rs0_skip0 stages0
