#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1917p445 file0_rs0_skip0 stages0
1917p447 file0_rs0_skip0 stages0
1917p462 file0_rs0_skip0 stages1
1917p465 file0_rs0_skip0 stages0
1917p480 file0_rs0_skip0 stages0
1918p357 file0_rs0_skip0 stages0
1918p360 file0_rs0_skip0 stages0
1918p397 file0_rs0_skip0 stages0
1918p400 file0_rs0_skip0 stages0
1918p415 file0_rs0_skip0 stages0
1918p417 file0_rs0_skip0 stages1
1918p420 file0_rs0_skip0 stages1
1918p450 file0_rs0_skip0 stages0
1918p452 file0_rs0_skip0 stages0
1918p467 file0_rs0_skip0 stages1
1918p470 file0_rs0_skip0 stages1
1919p325 file0_rs0_skip0 stages0
1919p347 file0_rs0_skip0 stages0
1919p362 file0_rs0_skip0 stages0
1919p402 file0_rs0_skip0 stages0
1919p405 file0_rs0_skip0 stages0
1919p422 file0_rs0_skip0 stages1
1919p455 file0_rs0_skip0 stages1
1919p457 file0_rs0_skip0 stages1
1919p472 file0_rs0_skip0 stages1
1919p475 file0_rs0_skip0 stages0
1920p327 file0_rs0_skip0 stages0
1920p330 file0_rs0_skip0 stages0
1920p332 file0_rs0_skip0 stages0
1920p350 file0_rs0_skip0 stages0
1920p352 file0_rs0_skip0 stages0
1920p355 file0_rs0_skip0 stages0
1920p407 file0_rs0_skip0 stages0
1920p410 file0_rs0_skip0 stages0
