#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1049p412 file0_rs0_skip0 stages0
1049p415 file0_rs0_skip0 stages0
1049p435 file0_rs0_skip0 stages0
1049p462 file0_rs0_skip0 stages0
1049p467 file0_rs0_skip0 stages2
1049p470 file0_rs0_skip0 stages2
1049p475 file0_rs0_skip0 stages2
1049p480 file0_rs0_skip0 stages0
1049p482 file0_rs0_skip0 stages0
1049p495 file0_rs0_skip0 stages0
1049p507 file0_rs0_skip0 stages0
1049p512 file0_rs0_skip0 stages0
1049p560 file0_rs0_skip0 stages0
1049p567 file0_rs0_skip0 stages0
1049p590 file0_rs0_skip0 stages0
1049p605 file0_rs0_skip0 stages0
1049p622 file0_rs0_skip0 stages0
1049p627 file0_rs0_skip0 stages0
1050p417 file0_rs0_skip0 stages0
1050p420 file0_rs0_skip0 stages0
1050p425 file0_rs0_skip0 stages0
1050p437 file0_rs0_skip0 stages0
1050p445 file0_rs0_skip0 stages0
1050p447 file0_rs0_skip0 stages0
1050p477 file0_rs0_skip0 stages2
1050p485 file0_rs0_skip0 stages0
1050p492 file0_rs0_skip0 stages0
1050p497 file0_rs0_skip0 stages0
1050p500 file0_rs0_skip0 stages0
1050p502 file0_rs0_skip0 stages0
1050p505 file0_rs0_skip0 stages0
1050p510 file0_rs0_skip0 stages0
1050p557 file0_rs0_skip0 stages0
1050p562 file0_rs0_skip0 stages1
1050p580 file0_rs0_skip0 stages0
